dim-1,outlier
61.272915,false
54.547543,false
31.086996,false
13.262122,false
46.588087,false
52.270709,false
52.485961,false
31.776314,false
33.456073,false
99.411182,true
17.725324,false
40.064926,false
21.136773,false
58.438282,false
53.298644,false
31.383761,false
-72.316877,true
58.022572,false
12.976008,false
45.381701,false
26.398539,false
64.504993,false
31.486277,false
18.638309,false
28.327148,false
82.972433,true
30.530138,false
37.843845,false
9.308630,false
50.159961,false
59.504390,false
26.796195,false
107.441881,true
29.187257,false
50.042104,false
7.186392,false
37.292094,false
29.266817,false
27.435430,false
96.335882,true
9.368166,false
-69.549314,true
54.161395,false
14.504039,false
46.751145,false
12.767623,false
32.325399,false
14.048085,false
15.844472,false
8.403423,false
42.221587,false
39.101990,false
-127.665672,true
15.250159,false
57.988889,false
34.068136,false
63.445673,false
41.625786,false
31.900657,false
47.940420,false
43.736873,false
35.484384,false
45.249713,false
51.265872,false
51.429093,false
19.159107,false
32.348228,false
44.558060,false
7.705611,false
58.298392,false
5.516480,false
53.581560,false
-91.723927,true
34.433935,false
41.767843,false
31.267513,false
46.792055,false
61.631303,false
23.526103,false
15.948013,false
63.703811,false
9.306222,false
63.372452,false
7.803837,false
62.936187,false
57.996299,false
61.928611,false
64.249276,false
59.677010,false
29.969923,false
26.006047,false
46.058689,false
30.483554,false
53.982125,false
32.389397,false
54.887214,false
-148.067171,true
22.260797,false
52.023888,false
58.432636,false
50.041588,false
-133.176601,true
26.417398,false
50.524649,false
57.323092,false
150.422630,true
30.176831,false
30.421858,false
44.126590,false
14.704852,false
63.069491,false
-153.888797,true
61.328934,false
13.080041,false
33.693441,false
5.569815,false
23.584563,false
46.030398,false
106.618582,true
31.362143,false
64.488558,false
53.616559,false
8.784968,false
42.608950,false
53.694237,false
17.642698,false
36.724632,false
37.007945,false
63.172685,false
27.048358,false
-156.613977,true
50.331438,false
9.475580,false
25.798967,false
21.228165,false
46.005981,false
34.029520,false
44.486530,false
15.848841,false
31.281780,false
17.818140,false
17.938124,false
50.996370,false
12.860238,false
27.942990,false
33.256480,false
30.041779,false
61.796256,false
18.173228,false
24.385600,false
