dim-1,outlier
1.022570,true
58.981834,false
59.456275,false
59.932269,false
60.409771,false
60.888731,false
61.369103,false
61.850838,false
62.333887,false
62.818204,false
63.303738,false
63.790442,false
64.278267,false
64.767164,false
65.257084,false
65.747979,false
66.239799,false
66.732495,false
-54.845378,true
67.720317,false
68.215345,false
68.711052,false
69.207387,false
69.704302,false
70.201746,false
70.699670,false
71.198024,false
71.696758,false
72.195823,false
72.695168,false
73.194743,false
73.694499,false
74.194385,false
74.694352,false
75.194350,false
-17.541994,true
-24.177272,true
76.694026,false
77.193646,false
77.693047,false
78.192178,false
78.690990,false
79.189433,false
79.687457,false
80.185012,false
80.682049,false
81.178518,false
81.674368,false
82.169551,false
82.664018,false
83.157718,false
83.650602,false
84.142621,false
84.633726,false
85.123867,false
85.612997,false
86.101064,false
86.588022,false
87.073821,false
87.558413,false
-42.899986,true
88.523780,false
89.004459,false
-76.656479,true
89.961568,false
90.437903,false
90.912693,false
91.385892,false
91.857453,false
92.327328,false
-57.269225,true
-74.078053,true
93.726369,false
94.189033,false
94.649778,false
95.108558,false
95.565327,false
96.020040,false
96.472651,false
16.406643,true
97.371385,false
97.817419,false
98.261172,false
98.702598,false
99.141654,false
99.578296,false
100.012480,false
100.444163,false
100.873301,false
101.299852,false
101.723773,false
102.145022,false
102.563556,false
102.979334,false
103.392314,false
103.802455,false
104.209716,false
104.614056,false
105.015434,false
105.413811,false
105.809146,false
106.201401,false
106.590535,false
16.273827,true
107.359288,false
107.738830,false
108.115098,false
108.488055,false
108.857662,false
109.223884,false
109.586684,false
109.946025,false
-34.077651,true
110.654188,false
111.002939,false
111.348089,false
111.689605,false
112.027452,false
112.361596,false
112.692004,false
113.018643,false
113.341480,false
113.660483,false
113.975620,false
114.286859,false
114.594170,false
114.897522,false
-41.196273,true
115.492225,false
115.783518,false
116.070733,false
116.353840,false
116.632812,false
116.907621,false
117.178239,false
117.444639,false
117.706795,false
117.964681,false
118.218270,false
118.467537,false
118.712457,false
118.953006,false
119.189160,false
119.420895,false
119.648188,false
119.871016,false
120.089357,false
120.303189,false
120.512491,false
120.717242,false
120.917421,false
-73.389774,true
121.303984,false
121.490330,false
121.672026,false
121.849056,false
122.021401,false
122.189043,false
122.351967,false
122.510155,false
122.663593,false
122.812264,false
122.956154,false
123.095249,false
123.229534,false
123.358996,false
123.483622,false
123.603400,false
123.718317,false
123.828363,false
123.933526,false
124.033796,false
124.129162,false
-13.376524,true
