measurement_value,outlier
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
0,true
0,true
17,false
17,false
17,false
17,false
17,false
17,false
17,false
17,false
16.5,false
16.5,false
16.5,false
16.5,false
16.5,false
16.5,false
16.5,false
16.5,false
16.5,false
15.5,false
15.5,false
15.5,false
15.5,false
15.5,false
15.5,false
15.5,false
15.5,false
15,false
15,false
15,false
15,false
15,false
15,false
15,false
15,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14.5,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
14,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
13.5,false
