dim-1,dim-2,dim-3
14.648881,58.484477,34.426350
5.579139,58.906200,17.946375
45.566303,31.332544,38.622506
47.582363,23.270986,40.817967
53.800645,57.026313,15.112551
46.967229,54.340894,59.862512
26.421374,34.221898,34.116159
19.478574,29.435512,40.853546
63.519040,35.618844,32.224161
54.845635,14.880851,51.168775
23.477897,45.768602,37.385994
14.821194,22.812106,24.042813
60.624604,-136.732201,-140.747864
136.865604,91.223715,48.358935
29.898503,54.008201,46.288083
36.223834,17.767841,62.059156
8.250388,56.568463,45.459531
60.458077,38.474456,7.797549
6.178694,62.226676,51.288758
46.950703,10.980662,32.075951
49.007050,53.140815,60.167943
13.509347,18.700709,54.346308
28.314161,28.810318,11.110728
34.231914,11.203522,9.806011
63.407426,29.419237,12.036099
47.924846,53.753672,64.678810
22.489311,46.077587,16.128831
36.871520,36.501825,55.270982
38.840679,42.419483,20.742945
25.916390,48.638392,18.301797
53.548908,39.751641,23.152568
13.771190,43.675380,31.764290
52.966083,34.071966,25.227365
14.881514,26.661943,61.007770
28.258123,34.431209,15.200275
12.019997,36.550118,18.944118
14.661912,62.949166,30.826802
63.343534,36.981144,27.395836
8.018904,61.882766,46.428714
39.183215,41.260130,22.615298
39.972382,35.995048,60.696301
43.509679,48.765404,42.607964
42.312357,61.464779,58.467860
24.619444,54.097822,60.297407
53.621687,49.868186,7.592223
13.488315,22.947829,50.471434
59.347704,29.918641,16.828624
33.951081,61.999079,61.497131
85.101560,-142.779428,7.912473
11.224883,45.569769,57.628127
-105.091606,36.277563,139.057514
22.876117,18.867365,45.731618
16.583992,58.719573,39.190975
7.093803,139.643570,56.110956
40.309191,22.748442,13.102880
31.445523,41.653883,12.409116
31.538029,18.484722,60.032520
15.363710,9.760252,33.513585
25.722737,25.834738,35.832854
5.726821,49.818115,23.789006
10.265991,30.734946,43.478158
33.840316,-159.091747,78.526523
39.941905,33.610242,64.297774
37.914289,58.203360,16.732848
30.220019,46.938391,35.139614
13.816057,12.034737,61.658534
12.497331,-145.243190,34.815463
61.817933,39.856359,22.985293
60.189750,48.515526,33.094713
24.436984,14.650841,62.361835
33.759026,28.963323,52.393442
5.227587,6.958557,8.118380
14.002069,57.575795,55.129933
5.187891,36.140779,23.580416
40.297590,58.444263,23.836826
34.332087,20.348814,7.923235
6.404238,52.909097,53.715933
59.358681,15.029720,5.833671
58.860841,54.530882,15.736474
55.280686,49.401383,8.217353
28.039741,39.302226,34.344041
25.812003,45.275876,48.279475
56.664421,9.412092,36.140177
28.974672,62.517860,55.402772
40.810036,22.265598,35.368216
15.080764,22.897544,39.487670
49.470091,20.765016,28.804945
9.890591,42.164174,59.203886
42.191855,32.491185,30.411753
43.200648,45.386734,63.850932
39.221270,45.761309,20.814116
24.755157,5.657758,55.821711
13.501368,39.459514,5.910462
14.638740,50.523593,27.574172
9.664032,6.573075,54.661458
9.414396,30.051056,62.472708
60.032733,25.249727,21.498980
51.916854,14.832479,37.055339
32.580674,25.489804,16.349427
56.717053,8.560922,47.749938
40.304897,30.386896,57.850292
55.668186,9.648707,58.433131
35.719974,6.198545,8.502513
56.542047,36.899311,48.484492
37.005832,19.278102,34.788786
15.803557,48.809071,29.307895
48.648661,62.795327,6.954311
26.259800,7.510442,61.097939
16.968487,45.314815,5.428866
26.286284,31.716257,61.313561
49.302757,37.375679,57.952537
51.691941,23.134567,16.666378
31.921202,55.471114,52.558772
23.726870,56.617616,45.547058
24.752257,25.703074,59.400173
9.110159,39.914547,27.456853
39.599825,29.748073,5.150314
18.805627,49.252994,37.443993
5.756959,27.412306,48.895616
63.137057,51.739148,27.526677
84.547218,92.602310,100.107766
7.345715,50.906680,58.738859
27.594243,22.898436,61.272834
60.001459,10.435795,26.136035
39.802544,12.700335,42.456033
15.937941,62.848040,39.449315
37.030599,9.771124,10.936167
22.642210,40.123249,55.285376
18.883597,21.795986,41.922160
50.638489,40.772594,21.256465
-118.852517,39.592977,130.915048
15.401872,27.538357,42.647559
26.655046,12.696103,10.621011
7.665957,35.575591,57.892515
44.546631,41.605645,17.272703
14.436206,42.242952,54.738381
48.855953,9.348382,47.588681
59.925928,39.575540,9.657919
19.033194,20.567237,52.986251
11.677201,9.264405,15.373096
14.380609,15.287116,39.876591
29.128622,8.214871,24.406847
31.807568,63.274578,34.906777
5.637156,12.130856,15.325331
42.531959,61.572301,31.723124
41.754346,33.013927,45.657703
15.817343,62.009480,55.762802
21.831803,37.488606,25.679897
39.719333,39.369895,54.369392
9.815591,55.483964,41.838975
48.898151,43.315980,42.246258
9.637995,63.283977,34.340664
58.636011,131.195901,137.964391
56.282051,44.253643,8.422355
26.894312,48.948480,31.944726
32.940710,56.012956,55.724591
36.924485,8.550901,62.873298
42.408325,37.908697,15.855979
24.078801,34.012355,50.284815
56.492672,64.056490,41.485916
14.417097,40.606742,41.392792
157.101126,-161.748693,9.518449
8.459545,47.291210,7.657758
59.421272,17.932188,5.094937
24.175046,45.181058,35.117813
23.306783,15.219873,31.631547
145.859667,10.165579,37.848277
20.584342,52.265912,55.775793
42.244851,38.156367,34.553207
56.816054,33.041913,6.917690
56.993335,58.057872,10.497352
60.633112,30.216789,45.278857
46.700668,21.191809,32.678517
48.068540,47.519898,5.398265
150.481415,48.443409,-68.324383
59.811190,52.376149,61.461565
9.385421,29.498740,30.454410
5.251434,38.862417,61.574735
44.020832,62.769284,14.089395
51.402164,33.098781,10.656293
21.948390,61.892161,52.522125
42.278995,39.451292,26.637630
51.483794,15.044234,27.933385
52.993657,12.605624,19.174486
25.466767,41.593478,11.316731
