dim-1,dim-2,dim-3,outlier
47.516930,20.670930,16.679194,false
19.845298,40.515388,8.198814,false
12.452382,33.986523,52.300984,false
33.763922,38.703006,46.663204,false
45.646595,56.259325,53.591350,false
44.133832,61.584581,43.172107,false
29.949347,79.955997,-112.535917,true
28.569359,17.643985,7.713827,false
15.410736,31.818727,22.744973,false
60.738714,12.504524,48.168497,false
52.552556,63.171623,23.132162,false
19.363880,12.758496,36.128297,false
29.100016,27.602916,35.601893,false
46.271002,7.389167,63.296464,false
20.080100,55.189153,52.882723,false
5.124940,26.740559,30.653958,false
53.808710,10.817392,42.531985,false
24.400754,38.349473,13.692149,false
28.367002,44.040519,45.588797,false
53.456667,24.374410,57.482213,false
47.289778,8.176433,30.385604,false
45.219003,42.215031,15.113898,false
13.118981,24.232807,11.420023,false
8.984975,31.139236,22.432307,false
51.988773,-65.962541,55.625661,true
50.774779,32.029968,58.077946,false
63.213506,59.030296,45.223685,false
52.013918,15.122463,22.819191,false
12.463044,16.511109,14.058654,false
50.902771,54.765484,38.349218,false
60.809865,47.573639,9.621066,false
30.388090,15.198743,24.578149,false
43.919056,45.110676,44.832678,false
36.859893,56.954741,58.283689,false
52.402767,64.740937,51.008257,false
9.837692,63.211905,43.232464,false
54.699207,34.521786,21.975726,false
46.619980,10.389552,21.226857,false
44.115569,54.191761,33.310431,false
42.157345,16.506270,58.418875,false
25.468964,51.745692,24.999037,false
49.154045,20.425588,56.917232,false
15.990165,53.456577,36.709806,false
61.649354,9.062303,49.299609,false
29.261379,43.454272,38.380427,false
23.843226,32.213591,55.123330,false
33.731123,64.662752,21.313442,false
26.488145,18.114093,16.491317,false
7.093762,43.699132,31.362436,false
40.460779,42.624745,21.810056,false
54.124804,45.148337,20.866527,false
-80.800046,113.792796,58.770800,true
32.578152,7.860888,37.781936,false
25.596455,27.752158,48.675902,false
58.711184,22.727957,55.490336,false
21.678892,40.046011,29.139636,false
45.074909,26.018177,14.858637,false
50.763642,28.971927,14.306949,false
28.265119,46.404874,13.557702,false
57.174363,64.205497,13.480905,false
18.883171,9.848099,22.366079,false
53.043190,122.136647,77.304974,true
21.887713,45.680725,57.010663,false
-71.874830,33.192420,-137.874043,true
33.944769,57.004666,20.725986,false
26.256603,50.570624,61.891025,false
46.682937,58.622433,24.564020,false
11.581753,34.053252,51.773789,false
17.505157,8.572149,27.901124,false
25.372799,64.152286,39.270146,false
13.609157,32.316607,28.147066,false
28.110246,18.931822,11.202118,false
56.171320,13.197055,27.848967,false
107.378115,-132.416141,6.891280,true
44.596550,28.911474,18.606355,false
63.368313,51.827304,33.492133,false
59.232370,13.918522,44.087855,false
34.124338,18.840004,11.624762,false
14.399274,48.305119,44.781676,false
64.826060,43.434180,59.692684,false
8.533745,50.754203,28.006905,false
9.539923,31.955443,44.079444,false
